City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,La Primavera,CO,2021-11-15 03:11:03,5.4906,-70.4092,77.77,70,13,5.64
68,Whitehorse,CA,2021-11-15 03:11:04,60.7161,-135.0538,6.04,100,77,2.26
69,Corinto,GR,2021-11-15 03:11:06,37.9407,22.9573,62.89,82,100,4.45
70,Mayo,US,2021-11-15 03:11:06,38.8876,-76.5119,49.55,64,40,1.99
71,Caravelas,BR,2021-11-15 03:11:07,-17.7125,-39.2481,72.23,68,100,10.07
72,Namatanai,PG,2021-11-15 03:11:07,-3.6667,152.4333,84.99,69,95,7.85
73,Cidreira,BR,2021-11-15 03:11:08,-30.1811,-50.2056,68.31,88,100,18.77
74,Tiksi,RU,2021-11-15 03:11:08,71.6872,128.8694,-14.53,98,45,7.05
75,Pokhara,NP,2021-11-15 03:08:08,28.2333,83.9833,60.57,69,94,1.07
76,Khatanga,RU,2021-11-15 03:11:09,71.9667,102.5,-0.65,98,100,3.53
77,Antalaha,MG,2021-11-15 03:11:09,-14.9003,50.2788,73.72,79,21,4.34
78,Kavaratti,IN,2021-11-15 03:11:10,10.5669,72.642,81.91,77,100,16.93
79,Jamestown,US,2021-11-15 03:11:10,42.097,-79.2353,34.09,96,90,5.01
80,Tessalit,ML,2021-11-15 03:11:11,20.1986,1.0114,73.72,19,100,8.77
81,Turayf,SA,2021-11-15 03:11:11,31.6725,38.6637,57.61,32,98,14.54
82,Avarua,CK,2021-11-15 03:10:31,-21.2078,-159.775,80.65,61,20,6.91
83,Belaya Gora,RU,2021-11-15 03:11:12,68.5333,146.4167,1.29,96,100,1.92
84,Udachnyy,RU,2021-11-15 03:11:12,66.4167,112.4,-14.67,99,72,4.97
85,Hithadhoo,MV,2021-11-15 03:11:13,-0.6,73.0833,82.49,71,89,11.32
86,Makhinjauri,GE,2021-11-15 03:11:13,41.6739,41.694,46.26,81,0,14.97
87,Matagami,CA,2021-11-15 03:11:14,49.7502,-77.6328,26.71,100,40,3.44
88,Kinsale,IE,2021-11-15 03:11:15,51.7075,-8.5306,52.97,93,75,11.5
89,Pacific Grove,US,2021-11-15 03:07:08,36.6177,-121.9166,66.11,68,1,3.0
90,Ewa Beach,US,2021-11-15 03:09:39,21.3156,-158.0072,80.55,71,90,4.0
91,Ponta Do Sol,PT,2021-11-15 03:12:16,32.6667,-17.1,66.83,67,18,2.91
92,Nikolskoye,RU,2021-11-15 03:12:16,59.7035,30.7861,33.87,80,51,3.85
93,Severo-Kurilsk,RU,2021-11-15 03:08:58,50.6789,156.125,43.68,93,100,18.14
94,Ilulissat,GL,2021-11-15 03:12:17,69.2167,-51.1,12.22,79,90,13.8
95,Atuona,PF,2021-11-15 03:12:17,-9.8,-139.0333,78.57,72,6,15.1
96,Port Blair,IN,2021-11-15 03:12:18,11.6667,92.75,78.03,89,100,16.46
97,Hasaki,JP,2021-11-15 03:12:18,35.7333,140.8333,66.6,55,16,10.36
98,Matay,EG,2021-11-15 03:12:19,28.419,30.7792,64.09,78,41,6.02
99,Kananga,CD,2021-11-15 03:12:19,-5.8958,22.4178,66.7,95,99,1.25
100,Ust-Maya,RU,2021-11-15 03:12:20,60.4167,134.5333,-4.27,89,53,2.89
101,Tasiilaq,GL,2021-11-15 03:12:20,65.6145,-37.6368,30.36,60,54,9.64
102,Ocean City,US,2021-11-15 03:12:21,39.2776,-74.5746,51.82,72,100,11.99
103,Luderitz,NA,2021-11-15 03:12:21,-26.6481,15.1594,65.93,58,0,14.7
104,Jardim,BR,2021-11-15 03:12:22,-21.4803,-56.1381,71.46,97,100,4.43
