City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Weather
79,North Bend,43.4065,-124.2243,48.11,89,1,6.91,US,clear sky
80,Noumea,-22.2763,166.4572,86.0,99,30,14.85,NC,scattered clouds
81,Mocajuba,-2.5842,-49.5072,73.04,97,86,2.64,BR,overcast clouds
82,Bethel,41.3712,-73.414,40.57,72,1,1.01,US,clear sky
83,Kozhanka,49.9793,29.7381,31.68,85,14,7.0,UA,few clouds
84,Dong Hoi,17.4833,106.6,78.44,76,92,6.33,VN,overcast clouds
85,Geraldton,-28.7667,114.6,75.61,46,75,14.97,AU,broken clouds
86,Quang Ngai,15.1167,108.8,76.15,93,100,5.5,VN,light rain
87,Peniche,39.3558,-9.3811,56.62,61,100,6.26,PT,overcast clouds
88,Upernavik,72.7868,-56.1549,1.76,64,67,6.58,GL,broken clouds
89,Port Alfred,-33.5906,26.891,69.51,68,82,19.62,ZA,broken clouds
90,Husavik,66.0449,-17.3389,35.51,76,16,13.91,IS,few clouds
91,Mitsamiouli,-11.3847,43.2844,84.49,61,20,5.75,KM,light rain
92,Maamba,-17.3667,27.15,83.61,41,0,7.87,ZM,clear sky
93,Margate,51.3813,1.3862,50.7,78,93,6.38,GB,overcast clouds
94,Beisfjord,68.3751,17.5988,43.25,92,100,8.48,NO,light rain
95,Lavrentiya,65.5833,-171.0,14.59,87,96,7.31,RU,overcast clouds
96,Souillac,-20.5167,57.5167,82.36,69,75,11.5,MU,broken clouds
97,Dimitrovgrad,54.2139,49.6184,23.05,91,79,7.43,RU,broken clouds
98,Chuy,-33.6971,-53.4616,64.31,95,25,8.46,UY,light rain
99,Ubatuba,-23.4339,-45.0711,67.28,88,15,3.0,BR,few clouds
100,Kuryk,43.2,51.65,40.17,69,94,24.92,KZ,overcast clouds
101,Wajima,37.4,136.9,57.88,58,20,6.91,JP,few clouds
102,Mukhen,48.1,136.1,26.67,80,48,10.6,RU,scattered clouds
103,Shalyhyne,51.5717,34.1217,24.76,83,65,5.12,UA,broken clouds
104,Paita,-5.0892,-81.1144,62.85,85,56,9.66,PE,broken clouds
105,Taoudenni,22.6783,-3.9836,67.19,22,99,4.45,ML,overcast clouds
106,Bredasdorp,-34.5322,20.0403,63.28,64,100,6.22,ZA,overcast clouds
107,Pauini,-7.7136,-66.9764,74.12,97,100,2.13,BR,overcast clouds
108,Laguna,38.421,-121.4238,59.02,93,90,4.61,US,mist
109,Hermanus,-34.4187,19.2345,66.9,72,100,3.94,ZA,overcast clouds
110,Cape Town,-33.9258,18.4232,68.11,71,20,5.75,ZA,few clouds
111,Fortuna,40.5982,-124.1573,54.48,75,90,5.01,US,overcast clouds
112,Tual,-5.6667,132.75,81.99,73,86,4.59,ID,overcast clouds
113,Havre-Saint-Pierre,50.2334,-63.5986,37.4,100,90,13.8,CA,light rain
114,Aleksandrov Gay,50.147,48.5704,23.18,63,2,12.01,RU,clear sky
115,Barmer,25.75,71.3833,81.91,16,2,9.15,IN,clear sky
116,Chara,56.9064,118.2631,16.3,88,66,0.51,RU,broken clouds
117,New Norfolk,-42.7826,147.0587,58.71,57,98,4.0,AU,overcast clouds
118,Puerto El Triunfo,13.2833,-88.55,80.76,85,94,5.06,SV,overcast clouds
119,San Carlos De Bariloche,-41.1456,-71.3082,31.75,80,0,6.91,AR,clear sky
120,Tasiilaq,65.6145,-37.6368,26.76,62,75,11.48,GL,broken clouds
121,Luderitz,-26.6481,15.1594,69.64,53,8,17.69,NA,clear sky
122,Touros,-5.1989,-35.4608,79.7,77,6,13.06,BR,clear sky
123,Villamontes,-21.25,-63.5,68.16,95,97,2.42,BO,overcast clouds
124,Mahanoro,-19.9,48.8,80.17,71,79,7.56,MG,light rain
125,Okha,53.5739,142.9478,25.11,85,100,16.35,RU,light snow
126,San Francisco,37.7749,-122.4194,58.53,91,90,1.99,US,overcast clouds
127,Bagdarin,54.4333,113.6,26.55,64,82,2.48,RU,broken clouds
128,Catuday,16.2923,119.8062,84.11,68,81,8.86,PH,broken clouds
129,Dehloran,32.6941,47.2679,71.46,24,100,3.33,IR,overcast clouds
130,Jijiga,9.35,42.8,70.61,36,16,5.37,ET,few clouds
131,Gohana,29.1333,76.7,76.15,22,0,2.75,IN,clear sky
132,Biltine,14.5333,20.9167,76.66,19,41,9.93,TD,scattered clouds
133,Faanui,-16.4833,-151.75,80.71,76,99,7.25,PF,light rain
134,Zyryanka,65.75,150.85,-9.29,100,69,1.68,RU,broken clouds
135,Yingkou,40.6648,122.2283,43.7,51,0,4.45,CN,clear sky
136,Santiago,-33.4569,-70.6483,63.86,48,0,5.75,CL,clear sky
137,Zambezi,-13.5432,23.1047,72.45,68,86,4.47,ZM,overcast clouds
138,Muros,42.7762,-9.0603,54.84,88,50,12.44,ES,scattered clouds
139,Pangnirtung,66.1451,-65.7125,3.0,71,79,5.82,CA,broken clouds
140,Marawi,7.9986,124.2928,74.64,92,74,2.93,PH,broken clouds
141,Torbay,47.6666,-52.7314,45.28,95,90,32.21,CA,moderate rain
142,Half Moon Bay,37.4636,-122.4286,59.92,94,90,0.0,US,overcast clouds
143,Tiksi,71.6872,128.8694,-5.57,89,100,4.65,RU,overcast clouds
144,Acapulco,16.8634,-99.8901,75.38,74,21,4.41,MX,few clouds
145,Comodoro Rivadavia,-45.8667,-67.5,39.06,38,0,4.61,AR,clear sky
146,Katsuura,35.1333,140.3,64.44,76,54,16.71,JP,broken clouds
147,Clifton,40.8584,-74.1638,41.65,70,1,5.01,US,clear sky
148,Raichur,16.2,77.3667,83.52,63,77,14.54,IN,broken clouds
149,Katherine,-14.4667,132.2667,98.92,9,98,10.36,AU,overcast clouds
150,Berea,41.3662,-81.8543,35.24,84,75,6.91,US,broken clouds
151,Necochea,-38.5473,-58.7368,54.03,86,88,14.67,AR,light rain
152,Alofi,-19.0595,-169.9187,75.09,78,21,6.91,NU,few clouds
153,Port Elizabeth,-33.918,25.5701,71.1,70,92,18.39,ZA,light rain
154,Waddan,29.1614,16.139,61.39,42,8,5.68,LY,clear sky
155,Yellowknife,62.456,-114.3525,13.41,95,40,4.61,CA,scattered clouds
156,Turayf,31.6725,38.6637,48.45,76,0,4.61,SA,clear sky
157,Esil,51.9556,66.4042,11.59,88,48,6.69,KZ,scattered clouds
158,Kieta,-6.2167,155.6333,83.17,75,100,3.44,PG,light rain
159,Mount Isa,-20.7333,139.5,89.37,11,15,9.22,AU,few clouds
160,Fez,34.0372,-4.9998,44.85,81,0,3.44,MA,clear sky
161,Port Lincoln,-34.7333,135.8667,60.04,53,37,12.41,AU,scattered clouds
162,Severo-Kurilsk,50.6789,156.125,35.15,62,75,23.67,RU,broken clouds
163,Jaguaribe,-5.8906,-38.6219,77.61,73,26,6.71,BR,scattered clouds
164,Saint-Philippe,-21.3585,55.7679,83.75,70,56,10.94,RE,broken clouds
165,Broken Hill,-31.95,141.4333,67.71,28,9,9.22,AU,clear sky
166,Qandala,11.472,49.8728,81.14,51,14,6.35,SO,few clouds
167,Mbarara,-0.608,30.65,66.45,83,99,0.87,UG,overcast clouds
168,Saldanha,-33.0117,17.9442,63.79,80,70,14.99,ZA,broken clouds
169,Cozumel,20.5083,-86.9458,71.94,93,98,12.21,MX,overcast clouds
170,Mar Del Plata,-38.0023,-57.5575,59.02,92,90,13.0,AR,overcast clouds
171,Nikolsk,53.7189,46.0712,22.19,88,66,9.98,RU,broken clouds
172,Ancud,-41.8697,-73.8203,39.42,81,2,5.1,CL,clear sky
173,Luganville,-15.5333,167.1667,81.77,80,35,8.3,VU,scattered clouds
174,Saskylakh,71.9167,114.0833,-28.32,100,70,3.74,RU,broken clouds
175,Ourossogui,15.6064,-13.3211,83.8,28,89,8.08,SN,overcast clouds
176,Naryan-Mar,67.6713,53.087,4.62,88,73,5.28,RU,broken clouds
177,Petrozavodsk,61.7849,34.3469,36.86,93,75,15.66,RU,broken clouds
178,Lydenburg,-25.0978,30.4597,77.61,48,6,4.21,ZA,clear sky
179,Dhidhdhoo,6.8833,73.1,81.16,80,79,17.65,MV,broken clouds
180,Cedar City,37.6775,-113.0619,53.19,34,1,11.5,US,clear sky
181,Paris,48.8534,2.3488,44.22,94,90,3.44,FR,overcast clouds
182,Pampa,35.5362,-100.9599,56.19,50,1,10.36,US,clear sky
183,Bonthe,7.5264,-12.505,78.53,81,42,2.62,SL,scattered clouds
184,Yar-Sale,66.8333,70.8333,2.08,95,88,2.19,RU,overcast clouds
185,Hambantota,6.1241,81.1185,86.34,79,40,17.27,LK,scattered clouds
186,Kaeo,-35.1,173.7833,72.32,68,57,8.52,NZ,broken clouds
187,Seoul,37.5683,126.9778,58.39,33,0,5.75,KR,clear sky
188,Iquitos,-3.7481,-73.2472,75.24,100,90,1.14,PE,heavy intensity rain
189,Montilla,37.5863,-4.6381,46.8,57,53,5.08,ES,broken clouds
190,Presidencia Roque Saenz Pena,-26.7852,-60.4388,74.89,83,48,4.25,AR,scattered clouds
191,Maniitsoq,65.4167,-52.9,13.42,82,98,8.86,GL,overcast clouds
