City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
266,Payyannur,IN,82.74,broken clouds,12.1,75.2,Kavvayi Beach House
269,Wesselsbron,ZA,75.67,clear sky,-27.8549,26.3658,Wesselsbron Lodge
272,Inirida,CO,75.43,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
275,Mahebourg,MU,82.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
276,Moerai,PF,77.83,overcast clouds,-22.4333,-151.3333,Le Manotel
283,Atar,MR,76.5,overcast clouds,20.5169,-13.0499,Oumou Elghoura
289,Cockburn Town,TC,81.99,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
290,Victoria,HK,80.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
291,Hithadhoo,MV,82.85,broken clouds,-0.6,73.0833,Scoop Guest House
292,Santa Isabel Do Rio Negro,BR,75.18,overcast clouds,-0.4139,-65.0192,Hotel GSA
293,Padang,ID,87.85,broken clouds,-0.9492,100.3543,Mercure Padang
295,Puerto Gaitan,CO,75.45,broken clouds,4.3133,-72.0816,Brisas del Yucao
301,Saint-Pierre,RE,83.84,clear sky,-21.3393,55.4781,Lindsey Hôtel
302,Acarau,BR,80.49,scattered clouds,-2.8856,-40.12,castelo pizzaria
306,Calabar,NG,75.78,light rain,4.9517,8.322,NAKS Hotels (Formerly NAF Club)
309,Badarganj,BD,79.74,clear sky,25.674,89.0549,Raushon
312,Omboue,GA,78.15,broken clouds,-1.5746,9.2618,Hotel Olako
318,Ternate,ID,84.11,light rain,0.8,127.4,Sahid Bela Ternate Hotel
328,Iracoubo,GF,77.18,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
330,Poum,NC,80.58,broken clouds,-20.2333,164.0167,Gîte kajeon
340,Mogadishu,SO,84.07,few clouds,2.0371,45.3438,Hotel Juba
342,Samarai,PG,84.67,broken clouds,-10.6167,150.6667,Nuli Sapi
345,Karratha,AU,88.45,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
349,Saint-Joseph,RE,82.76,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
351,Neyyattinkara,IN,84.06,overcast clouds,8.4,77.0833,P.W.D. Rest House
352,Point Pedro,LK,81.81,overcast clouds,9.8167,80.2333,Gtr homes
354,Kirakira,SB,83.64,broken clouds,-10.4544,161.9205,SanBiz Lodge
362,Monrovia,LR,78.3,light rain,6.3005,-10.7969,Sunset Inn
366,Dingle,PH,83.97,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
368,Farrukhnagar,IN,76.71,overcast clouds,17.0778,78.2011,Musthafa Five Star Kiranam
370,Kilindoni,TZ,81.63,clear sky,-7.9139,39.6668,Bustani B&B
374,Carutapera,BR,78.08,broken clouds,-1.195,-46.02,Lidera
377,Majene,ID,75.38,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
383,Atambua,ID,84.06,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
392,Mae Sai,TH,86.45,broken clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
402,Sola,VU,81.32,broken clouds,-13.8833,167.55,Leumerus Bungalows
403,Sambava,MG,79.7,broken clouds,-14.2667,50.1667,Melrose
404,Bengkulu,ID,83.91,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
413,Weligama,LK,81.43,overcast clouds,5.9667,80.4167,Weligama Bay Resort
418,Domoni,KM,83.05,few clouds,-12.2569,44.5319,Al Djadid
419,Waingapu,ID,86.43,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
420,Basco,PH,78.87,broken clouds,20.4487,121.9702,Nathaniel's Lodge
423,Ta Khmau,KH,87.85,scattered clouds,11.4833,104.95,Tra Ny Ka Hotel & Restaurant
426,Anjar,IN,83.21,overcast clouds,23.1333,70.0167,Manav Residency
431,Puri,IN,79.38,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
436,Raipur,IN,82.54,haze,21.2333,81.6333,The Blue Moon(Now Closed)
444,Bhadrapur,NP,78.93,clear sky,26.544,88.0944,Greencity
445,Mangaluru,IN,85.06,broken clouds,12.8667,74.8833,Goldfinch Hotel Mangaluru
446,Alice Springs,AU,83.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
448,Hobyo,SO,81.68,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
453,Ahuimanu,US,76.75,broken clouds,21.4447,-157.8378,Paradise Bay Resort
463,Sesheke,ZM,83.48,few clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
467,Gharo,PK,82.62,clear sky,24.7424,67.5856,Fotis Lodge
469,Ballina,AU,82.58,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
477,Mucurapo,TT,79.25,broken clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
